Time: 2023-05-15 23:16:18 || Emotion: Fear
Time: 2023-05-15 23:16:18 || Emotion: Fear
Time: 2023-05-15 23:16:18 || Emotion: Happy
Time: 2023-05-15 23:16:18 || Emotion: Fear
Time: 2023-05-15 23:16:18 || Emotion: Fear
Time: 2023-05-15 23:16:19 || Emotion: Happy
Time: 2023-05-15 23:16:19 || Emotion: Fear
Time: 2023-05-15 23:16:19 || Emotion: Happy
Time: 2023-05-15 23:16:19 || Emotion: Fear
Time: 2023-05-15 23:16:19 || Emotion: Fear
Time: 2023-05-15 23:16:20 || Emotion: Fear
Time: 2023-05-15 23:16:20 || Emotion: Happy
Time: 2023-05-15 23:16:20 || Emotion: Angry
Time: 2023-05-15 23:16:20 || Emotion: Fear
Time: 2023-05-15 23:16:20 || Emotion: Fear
Time: 2023-05-15 23:16:21 || Emotion: Happy
Time: 2023-05-15 23:16:21 || Emotion: Fear
Time: 2023-05-15 23:16:21 || Emotion: Fear
Time: 2023-05-15 23:16:21 || Emotion: Fear
Time: 2023-05-15 23:16:21 || Emotion: Angry
Time: 2023-05-15 23:16:22 || Emotion: Fear
Time: 2023-05-15 23:16:22 || Emotion: Fear
Time: 2023-05-15 23:16:22 || Emotion: Fear
Time: 2023-05-15 23:16:22 || Emotion: Fear
Time: 2023-05-15 23:16:22 || Emotion: Fear
Time: 2023-05-15 23:16:23 || Emotion: Fear
Time: 2023-05-15 23:16:23 || Emotion: Happy
Time: 2023-05-15 23:16:23 || Emotion: Fear
Time: 2023-05-15 23:16:23 || Emotion: Happy
Time: 2023-05-15 23:16:23 || Emotion: Happy
Time: 2023-05-15 23:16:24 || Emotion: Happy
Time: 2023-05-15 23:16:24 || Emotion: Fear
Time: 2023-05-15 23:16:24 || Emotion: Fear
Time: 2023-05-15 23:16:24 || Emotion: Fear
Time: 2023-05-15 23:16:24 || Emotion: Fear
Time: 2023-05-15 23:16:25 || Emotion: Fear
Time: 2023-05-15 23:16:25 || Emotion: Fear
Time: 2023-05-15 23:16:25 || Emotion: Happy
Time: 2023-05-15 23:16:25 || Emotion: Happy
Time: 2023-05-15 23:16:25 || Emotion: Happy
Time: 2023-05-15 23:16:26 || Emotion: Happy
Time: 2023-05-15 23:16:26 || Emotion: Fear
Time: 2023-05-15 23:16:26 || Emotion: Fear
Time: 2023-05-15 23:16:26 || Emotion: Happy
Time: 2023-05-15 23:16:26 || Emotion: Fear
Time: 2023-05-15 23:16:27 || Emotion: Fear
Time: 2023-05-15 23:16:27 || Emotion: Fear
Time: 2023-05-15 23:16:27 || Emotion: Fear
Time: 2023-05-15 23:16:27 || Emotion: Fear
Time: 2023-05-15 23:16:27 || Emotion: Fear
Time: 2023-05-15 23:16:28 || Emotion: Fear
Time: 2023-05-15 23:16:28 || Emotion: Fear
Time: 2023-05-15 23:16:28 || Emotion: Fear
Time: 2023-05-15 23:16:28 || Emotion: Fear
Time: 2023-05-15 23:16:28 || Emotion: Fear
Time: 2023-05-15 23:16:29 || Emotion: Fear
Time: 2023-05-15 23:16:29 || Emotion: Happy
Time: 2023-05-15 23:16:29 || Emotion: Fear
Time: 2023-05-15 23:16:29 || Emotion: Fear
Time: 2023-05-15 23:16:29 || Emotion: Fear
Time: 2023-05-15 23:16:30 || Emotion: Fear
Time: 2023-05-15 23:16:30 || Emotion: Fear
Time: 2023-05-15 23:16:30 || Emotion: Fear
Time: 2023-05-15 23:16:30 || Emotion: Angry
Time: 2023-05-15 23:16:30 || Emotion: Fear
Time: 2023-05-15 23:16:31 || Emotion: Fear
Time: 2023-05-15 23:16:31 || Emotion: Fear
Time: 2023-05-15 23:16:31 || Emotion: Fear
Time: 2023-05-15 23:16:31 || Emotion: Fear
Time: 2023-05-15 23:16:31 || Emotion: Angry
Time: 2023-05-15 23:21:13 || Emotion: Fear
Time: 2023-05-15 23:21:13 || Emotion: Fear
Time: 2023-05-15 23:21:13 || Emotion: Angry
Time: 2023-05-15 23:21:13 || Emotion: Fear
Time: 2023-05-15 23:21:13 || Emotion: Fear
Time: 2023-05-15 23:21:14 || Emotion: Fear
Time: 2023-05-15 23:21:14 || Emotion: Fear
Time: 2023-05-15 23:21:14 || Emotion: Fear
Time: 2023-05-15 23:21:14 || Emotion: Fear
Time: 2023-05-15 23:21:14 || Emotion: Happy
Time: 2023-05-15 23:21:14 || Emotion: Fear
Time: 2023-05-15 23:21:14 || Emotion: Happy
Time: 2023-05-15 23:21:15 || Emotion: Fear
Time: 2023-05-15 23:21:15 || Emotion: Fear
Time: 2023-05-15 23:21:15 || Emotion: Fear
Time: 2023-05-15 23:21:15 || Emotion: Fear
Time: 2023-05-15 23:21:15 || Emotion: Fear
Time: 2023-05-15 23:21:15 || Emotion: Fear
Time: 2023-05-15 23:21:15 || Emotion: Fear
Time: 2023-05-15 23:21:16 || Emotion: Fear
Time: 2023-05-15 23:21:16 || Emotion: Fear
Time: 2023-05-15 23:21:16 || Emotion: Happy
Time: 2023-05-15 23:21:16 || Emotion: Happy
Time: 2023-05-15 23:21:16 || Emotion: Fear
Time: 2023-05-15 23:21:17 || Emotion: Angry
Time: 2023-05-15 23:21:17 || Emotion: Angry
Time: 2023-05-15 23:21:17 || Emotion: Fear
Time: 2023-05-15 23:21:17 || Emotion: Happy
Time: 2023-05-15 23:21:17 || Emotion: Fear
Time: 2023-05-15 23:21:18 || Emotion: Fear
Time: 2023-05-15 23:21:18 || Emotion: Surprise
Time: 2023-05-15 23:21:18 || Emotion: Surprise
Time: 2023-05-15 23:21:18 || Emotion: Happy
Time: 2023-05-15 23:21:19 || Emotion: Fear
Time: 2023-05-15 23:21:19 || Emotion: Fear
Time: 2023-05-15 23:21:19 || Emotion: Fear
Time: 2023-05-15 23:21:19 || Emotion: Fear
Time: 2023-05-15 23:21:19 || Emotion: Surprise
Time: 2023-05-15 23:21:20 || Emotion: Fear
Time: 2023-05-15 23:21:20 || Emotion: Fear
Time: 2023-05-15 23:21:20 || Emotion: Happy
Time: 2023-05-15 23:21:20 || Emotion: Fear
Time: 2023-05-15 23:24:49 || Emotion: Fear
Time: 2023-05-15 23:24:49 || Emotion: Fear
Time: 2023-05-15 23:24:49 || Emotion: Fear
Time: 2023-05-15 23:24:49 || Emotion: Fear
Time: 2023-05-15 23:24:49 || Emotion: Happy
Time: 2023-05-15 23:24:49 || Emotion: Fear
Time: 2023-05-15 23:24:50 || Emotion: Fear
Time: 2023-05-15 23:24:50 || Emotion: Fear
Time: 2023-05-15 23:24:50 || Emotion: Happy
Time: 2023-05-15 23:24:50 || Emotion: Fear
Time: 2023-05-15 23:24:50 || Emotion: Fear
Time: 2023-05-15 23:24:50 || Emotion: Fear
Time: 2023-05-15 23:24:50 || Emotion: Happy
Time: 2023-05-15 23:24:51 || Emotion: Fear
